Timestamp,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
18:32:24,218,107,8097591,6007000,110.17,574.59,43.32,21.25,1612185.02,1196092.06,100%,100%,0,0,0
18:32:29,659,360,37053825,21692000,329.58,485.95,122.34,67.2,6699721.09,4097693.68,100%,100%,1,1,1
18:32:34,470,322,24234271,19463000,436.73,492.86,92.51,63.73,4525879.58,3645539.29,99.79%,100%,2,2,2
18:32:39,713,426,45136187,25812000,397.51,443.76,160.55,97.8,9912626.44,6034844.85,98.48%,100%,3,3,3
18:32:44,663,437,42113030,26782000,231.29,494.52,124.66,81.52,8058940.77,5026431.02,96.51%,100%,4,4,4
18:32:49,654,431,37081821,23044000,213.9,497.87,123.93,81.1,6928510.26,4270555.55,96.75%,100%,5,5,5
18:32:54,621,402,32366393,20959000,446.39,517.74,119.74,76.89,6052450.3,4038646.72,96.58%,100%,6,6,6
18:32:59,607,378,32054961,21336000,216.34,517.21,117.86,73.31,6313392.8,4208805.58,96.5%,100%,7,7,7
18:33:04,389,284,26460019,13159000,657.38,994,63.27,45.1,4482931.14,2061294.72,95.58%,100%,8,8,8
18:33:09,456,271,28217257,13690000,446.73,641.23,91.27,54.19,5577048.64,2723878.1,95.6%,100%,9,9,9
18:33:14,445,258,31653869,16824000,1674.5,616.96,96.07,55.03,6752392.55,3653798.82,94.88%,100%,10,10,10
18:33:19,656,362,37838448,20173000,1323.99,523.35,135.47,74.34,7457399.8,3907367.26,96.61%,100%,11,11,12
18:33:24,564,352,32989531,18894000,1333.93,535.65,117.07,71.21,6734112.34,3946581.47,96.08%,100%,12,12,14
18:33:29,616,416,35750441,23014000,1045.22,509.38,124.71,86.75,7012283.18,4795384.2,96.55%,100%,13,13,16
18:33:34,666,425,38308389,21822000,678.41,469.58,133.27,85.4,7697877.92,4399803.91,96.8%,100%,14,14,17
18:33:39,662,435,35743760,24678000,768.42,468.57,135.13,88.4,7182364.47,5236418.35,100%,100%,15,15,18
18:33:44,626,383,37859079,21504000,504.08,522.1,121.55,73.73,7418751.41,4171897.01,96.9%,100%,16,16,19
18:33:49,627,402,42011823,22078000,869.39,511.79,126.97,79.04,8568051.58,4385556.7,98.58%,100%,17,18,20
18:33:54,626,408,22221533,23144000,310.91,442.47,121.09,77.76,4264349.33,4400930.36,96.6%,100%,18,19,21
18:33:59,634,402,38069194,25314000,485.61,496.52,133.5,79.55,10362260.59,5236276.41,96.35%,100%,19,20,22
18:34:04,651,428,30639553,25724000,729.23,509.59,129.26,85.36,6118145.57,5214931.26,100%,100%,20,21,24
18:34:09,834,475,56247998,27790000,681.91,420.69,166.32,92.37,11245202.49,5483412.24,99.64%,100%,21,22,26
18:34:14,765,477,61830873,28314000,293.65,395.6,149.85,94.12,11756139.5,5504407.44,99.74%,100%,22,23,28
18:34:19,612,385,42819038,21515000,477.74,447.19,130.53,84.15,8784631.31,4438883.08,100%,100%,23,24,30
18:34:24,685,436,41973249,23044000,524.13,518.42,141.43,89.92,8401525.78,4884990.79,99.85%,100%,24,26,32
18:34:29,654,414,43013823,23260000,544.88,428.15,126.14,81.85,7315447,4559534.32,100%,100%,25,27,34
18:34:34,871,482,55883861,28838000,586.83,407.41,176.08,96.49,11091021.51,5728502.55,99.54%,100%,26,28,36
18:34:39,915,560,50028287,36756000,411.21,340.59,180.74,110.91,9753652.66,7120945.64,99.78%,100%,27,29,38
18:34:44,759,500,37903529,30681000,250.88,392.09,146.79,97.03,7273571.27,5965672.85,100%,100%,28,30,40
18:34:49,806,543,51256591,34510000,623.56,389.33,165.86,111.19,10182600.59,6979908.14,99.88%,100%,29,31,42
18:34:54,924,607,61825541,36943000,532.63,330.17,183.17,121.85,12007626.89,7420084.76,100%,100%,30,32,44
18:34:59,1045,621,70451072,38545000,455.2,286.1,201.23,120.66,13470498.86,7558615.72,99.71%,100%,31,34,46
18:35:04,1123,644,63555223,38119000,326.67,290.75,228.48,130.9,12586651.96,7495792.24,99.73%,100%,32,35,48
