Timestamp,read,write
18:32:24,218,107
18:32:29,659,360
18:32:34,470,322
18:32:39,713,426
18:32:44,663,437
18:32:49,654,431
18:32:54,621,402
18:32:59,607,378
18:33:04,389,284
18:33:09,456,271
18:33:14,445,258
18:33:19,656,362
18:33:24,564,352
18:33:29,616,416
18:33:34,666,425
18:33:39,662,435
18:33:44,626,383
18:33:49,627,402
18:33:54,626,408
18:33:59,634,402
18:34:04,651,428
18:34:09,834,475
18:34:14,765,477
18:34:19,612,385
18:34:24,685,436
18:34:29,654,414
18:34:34,871,482
18:34:39,915,560
18:34:44,759,500
18:34:49,806,543
18:34:54,924,607
18:34:59,1045,621
18:35:04,1123,644
18:35:09,896,506
18:35:14,838,462
18:35:19,923,464
18:35:24,998,522
18:35:29,850,497
18:35:34,830,406
18:35:39,756,425
18:35:44,696,370
18:35:49,714,411
18:35:54,1045,570
18:35:59,1044,563
18:36:04,1183,614
18:36:09,984,584
18:36:14,931,490
18:36:19,771,466
18:36:24,634,342
18:36:29,837,457
18:36:34,809,450
18:36:39,806,450
18:36:44,1012,533
18:36:49,1211,650
18:36:54,1291,648
18:36:59,1243,687
18:37:04,1072,590
18:37:09,802,473
18:37:14,780,438
18:37:19,764,456
18:37:24,703,364
18:37:29,699,376
18:37:34,858,422
18:37:39,713,407
18:37:44,803,424
18:37:49,859,421
18:37:54,778,419
18:37:59,937,484
18:38:04,958,513
18:38:09,1100,597
18:38:14,841,446
18:38:19,472,226
18:38:24,88,18
